# ID_1 ra_1 dec_1 mu_ra_1 mu_dec_1 mu_ra_err_1 mu_dec_err_1 plx_1 plx_err_1 RV_1 RV_err_1 ID_2 ra_2 dec_2 mu_ra_2 mu_dec_2 mu_ra_err_2 mu_dec_err_2 plx_2 plx_err_2 RV_2 RV_err_2 BP_1 RP_1 BP_2 RP_2
1.129179956186983168e+18 1.780060861401829015e+02 7.892615596543419088e+01 4.426704867502805740e+01 -3.605714972389494566e+00 6.281377169507675051e-02 4.071644017561882462e-02 7.434269302797159362e+00 2.315740932002196065e-02 -6.469954895081108326e+00 3.541163852475663898e-01 1.129179960482897280e+18 1.780212170573722119e+02 7.892614531328570138e+01 4.253143598038649031e+01 -7.484610177653440166e-01 5.818328847604997689e-02 5.318218784204252481e-02 7.638662524336478299e+00 2.786980849004169064e-02 -5.649507139040825798e+00 5.258251013016227438e-01 1.070660600000000073e+01 9.934005000000000862e+00 1.105237799999999915e+01 1.021091999999999977e+01
2.986894225291127808e+18 7.707519371202879199e+01 -1.417721288570974636e+01 2.088905960621555202e+00 3.629522860698423159e+01 2.071669240927960509e-01 2.423645130279084015e-01 5.359808480644397299e+00 1.300709861554147639e-01 3.479218284198955757e+01 9.324547853159600441e-01 2.986895221723543040e+18 7.703517868413329950e+01 -1.415799810078162047e+01 2.581242770392382369e+00 3.376182455066767574e+01 4.000358448531133454e-02 4.412513957799851783e-02 4.631446733089665813e+00 2.739663310930411100e-02 3.669211651838813282e+01 8.151154074408910599e-01 1.138173800000000035e+01 1.059711300000000023e+01 1.193166800000000016e+01 1.110608500000000021e+01
4.309207006667673600e+18 2.876086930201253153e+02 9.682861211715584560e+00 2.779228221537379540e+01 7.986303191625520270e+00 8.502290156687766776e-02 9.491044710657835226e-02 8.592822997505946248e+00 4.746191017097874110e-02 -7.107146029561667433e+01 1.901545102058589842e+00 4.309207796949093376e+18 2.876078805072970681e+02 9.703632501525870424e+00 2.712130312092785189e+01 1.307720631181006077e+01 9.736820254256374485e-02 9.928485569318103166e-02 9.273762644295144852e+00 5.120586698756088989e-02 -6.984978267432680354e+01 3.739102492552005774e+00 1.096756199999999914e+01 9.986064999999999969e+00 9.572838000000000847e+00 8.693718000000000501e+00
5.649354175887644672e+18 1.358852329383993833e+02 -2.631283963994406960e+01 1.340151861108312303e+00 -5.255302956731624420e+01 5.146677960549372877e-02 3.867508977448501362e-02 9.328306104902729601e+00 3.161680201255089723e-02 -2.925756698246653187e-01 2.226087656826485073e-01 5.649354175887644672e+18 1.358885898898124367e+02 -2.631324862778344453e+01 -1.124044631512809644e+00 -5.267047339745551682e+01 1.150373798346774751e-01 8.768851686989591332e-02 7.567628265148370836e+00 9.960744981986369151e-02 8.755903680590435556e-01 4.397140470819224656e-01 1.117329499999999953e+01 1.018095600000000012e+01 1.083788099999999943e+01 9.873751000000000388e+00
1.219967219704854016e+18 2.392677814291702134e+02 2.525335772780347199e+01 -2.879121125660682878e+01 -7.318967113224884358e+00 9.243437458397084361e-02 1.300601308527070676e-01 8.740407594761251175e+00 8.073833866092089417e-02 -1.411687438120723215e+01 1.475543407156470366e+00 1.219968972051460608e+18 2.392554822991286585e+02 2.527983757896217298e+01 -2.998663474463548795e+01 -6.902249937632914722e+00 6.697901369916962888e-02 7.982830374881874635e-02 9.358686659448313350e+00 6.090465162432900231e-02 -1.578563627236778544e+01 4.451824880606456980e-01 9.931295000000000428e+00 9.165706999999999383e+00 1.155306200000000061e+01 1.046808300000000003e+01
5.388383373049647104e+18 1.633349638555642400e+02 -4.326710081014551434e+01 7.797276710781856934e+01 -7.006989763100092716e+01 5.367049618659287813e-02 6.426982546622418691e-02 8.662019710015650631e+00 4.010313253730916211e-02 1.926345068752174683e+01 3.617584029060381123e-01 5.388383373049648128e+18 1.633344722493415873e+02 -4.326291805490331654e+01 8.379108740730151794e+01 -6.648414435398457556e+01 2.776182612324826215e-01 3.155722361280016708e-01 9.919760282575007082e+00 1.813571737433165854e-01 2.056764137795944691e+01 4.292427274647503954e-01 9.343538000000000565e+00 8.623490000000000322e+00 9.824676999999999438e+00 9.039763999999999911e+00
3.278197770802258944e+18 5.624565582610063075e+01 8.319469065757770565e+00 2.661164457274143302e+01 -2.430572447217692655e+01 1.073946711875866100e-01 6.646543947649879991e-02 6.885368146867588024e+00 6.027112596463568561e-02 1.649114340233940013e+01 5.081324022677439212e-01 3.278300987456845312e+18 5.646727625358587233e+01 8.540797841739964369e+00 2.778341969343925655e+01 -2.464405074962589026e+01 1.027204221943151669e-01 5.816810605529330186e-02 7.551518650770836949e+00 4.971900548691855076e-02 1.558849235748217055e+01 6.181333186715755046e-01 9.502055000000000362e+00 8.890060000000000073e+00 1.195292599999999972e+01 1.086087400000000081e+01
1.828927341034512640e+17 8.130384905145515972e+01 3.485482282086160666e+01 -9.818107886098813353e+00 -4.933867583029093851e+01 7.700900986504637113e-02 5.633912477053801271e-02 7.128556256270290881e+00 5.092457614006122568e-02 -1.435934447329131736e+01 1.694421434877815269e-01 1.828986096187100160e+17 8.130151368542837531e+01 3.486329755227919236e+01 -8.392071615183127165e+00 -4.137333232612535028e+01 1.005797091005958960e-01 7.607635773736362572e-02 7.998192469158554196e+00 7.076046228701964036e-02 -1.577003028798687723e+01 2.634150865291011279e+00 6.795384000000000313e+00 5.596922400000000408e+00 8.508131999999999806e+00 7.891402199999999922e+00
6.163144861351211008e+18 2.025802749942343723e+02 -3.620717154538541394e+01 3.718001396584566187e+00 -2.441289668882970432e+01 6.721596409299594732e-02 6.415018291732307865e-02 5.316332607817040312e+00 4.049558049992852543e-02 6.018365733851004151e+00 2.278806334757890628e+00 6.163145033149906944e+18 2.025680909787243706e+02 -3.619569768845111213e+01 1.540911674106161477e+00 -2.410930370724087979e+01 2.839913024036243572e-01 1.910341847589708542e-01 6.093998305080658540e+00 1.294240758462247287e-01 5.764759794136924853e+00 5.904881117310728511e-01 1.100829500000000039e+01 1.017141900000000021e+01 9.821339000000000041e+00 9.085029000000000465e+00
5.606378183375558656e+18 1.079448038616464913e+02 -2.914934251678166532e+01 -4.493525749092717092e+01 1.335388023491687903e+01 3.980638035401256464e-02 4.639297597828161146e-02 1.350584549611588514e+01 2.862178625503143323e-02 8.496803147370204101e+01 2.887789637723774394e-01 5.606378217735287808e+18 1.079604417558426377e+02 -2.915027616498798935e+01 -4.312773095173108828e+01 1.743641180651450995e+01 5.690989141979522353e-02 7.237848469750281233e-02 1.318450398121026623e+01 4.448852406999547621e-02 8.545297668001094848e+01 4.467647053391122780e-01 9.283844999999999459e+00 8.426123999999999725e+00 1.148536900000000038e+01 1.012761300000000020e+01
